target_id	length	eff_length	est_counts	tpm
Solyc00g022090.2.1	732	533	2	0.137602
Solyc00g022100.1.1	480	281	5	0.652508
Solyc00g022103.1.1	399	200	4	0.733419
Solyc00g022107.1.1	825	626	75	4.39349
Solyc00g022920.2.1	459	260	0	0
Solyc00g023020.2.1	519	320	0	0
Solyc00g023030.1.1	453	254	0	0
Solyc00g023040.1.1	1062	863	0	0
Solyc00g023050.2.1	441	242	0	0
Solyc00g023250.2.1	723	524	0	0
Solyc00g023260.1.1	1239	1040	0	0
Solyc00g023270.2.1	534	335	0	0
Solyc00g023470.1.1	1047	848	0	0
Solyc00g023570.1.1	330	131.001	0	0
Solyc00g023580.1.1	258	60.8345	0	0
Solyc00g023590.2.1	1058	859	0	0
Solyc00g023600.2.1	261	63.4937	0	0
Solyc00g023700.2.1	597	398	0	0
Solyc00g023710.1.1	702	503	0	0
Solyc00g024010.1.1	327	128.001	0	0
Solyc00g024020.1.1	849	650	0	0
Solyc00g024030.1.1	1248	1049	0	0
Solyc00g024040.1.1	1434	1235	0	0
Solyc00g024050.1.1	639	440	0	0
Solyc00g024150.3.1	996	797	5	0.230056
Solyc00g024160.2.1	825	626	0	0
Solyc00g024370.1.1	3213	3014	0	0
Solyc00g024570.2.1	1665	1466	0	0
Solyc00g024670.1.1	1155	956	0	0
Solyc00g024680.2.1	408	209	0	0
Solyc00g024690.1.1	219	33.0557	0	0
Solyc00g025290.1.1	486	287	2	0.255547
Solyc00g025300.1.1	162	14.8683	0	0
Solyc00g025400.2.1	721	522	0	0
Solyc00g025500.2.1	1128	929	0	0
Solyc00g025510.1.1	207	27.3759	0	0
Solyc00g025520.1.1	192	21.9082	0	0
Solyc00g025530.1.1	783	584	0	0
Solyc00g025540.2.1	1188	989	0	0
Solyc00g025650.2.1	1501	1302	0	0
Solyc00g025660.1.1	1143	944	0	0
Solyc00g026160.3.1	1766	1567	4600	107.649
Solyc00g026165.1.1	465	266	0.238071	0.0328207
Solyc00g026860.1.1	1347	1148	0	0
Solyc00g026870.1.1	1398	1199	0	0
Solyc00g026875.1.1	309	110.015	0	0
Solyc00g026890.1.1	405	206	0	0
Solyc00g026900.1.1	363	164	0	0
Solyc00g026903.1.1	1494	1295	0	0
Solyc00g026905.1.1	1211	1012	0	0
Solyc00g026907.1.1	1851	1652	0	0
Solyc00g027640.1.1	435	236	0	0
Solyc00g027650.1.1	609	410	0	0
Solyc00g027660.2.1	747	548	0	0
Solyc00g027670.2.1	1053	854	0	0
Solyc00g027770.3.1	1737	1538	765	18.2401
Solyc00g027970.1.1	609	410	0	0
Solyc00g027980.1.1	567	368	0	0
Solyc00g027990.1.1	1218	1019	0	0
Solyc00g028090.2.1	849	650	0	0
Solyc00g028100.1.1	162	14.8683	0	0
Solyc00g028110.2.1	819	620	0	0
Solyc00g028120.1.1	2403	2204	0	0
Solyc00g028420.1.1	351	152	0	0
Solyc00g028520.2.1	699	500	0	0
Solyc00g028530.2.1	852	653	0	0
Solyc00g028540.2.1	789	590	0	0
Solyc00g028550.2.1	1649	1450	0	0
Solyc00g028560.1.1	1002	803	0	0
Solyc00g028760.1.1	606	407	0	0
Solyc00g028960.1.1	312	113.011	0	0
Solyc00g029060.1.1	264	66.2053	0	0
Solyc00g029070.2.1	411	212	0	0
Solyc00g029080.1.1	2871	2672	0	0
Solyc00g029090.1.1	246	50.8321	0	0
Solyc00g029190.3.1	1648	1449	0	0
Solyc00g029290.1.1	1131	932	0	0
Solyc00g029300.2.1	1788	1589	0	0
Solyc00g029500.1.1	189	20.9989	2	3.49265
Solyc00g030000.1.1	1503	1304	0	0
Solyc00g030100.1.1	174	17.1937	0	0
Solyc00g030105.1.1	798	599	0	0
Solyc00g030110.2.1	1026	827	0	0
Solyc00g030210.2.1	3484	3285	0	0
Solyc00g030215.1.1	271	72.7051	0	0
Solyc00g030510.3.1	1238	1039	0	0
Solyc00g030520.3.1	618	419	253	22.1426
Solyc00g030820.1.1	339	140	0	0
Solyc00g031020.2.1	732	533	0	0
Solyc00g031030.1.1	966	767	0	0
Solyc00g031040.1.1	885	686	0	0
Solyc00g031050.1.1	1383	1184	0	0
Solyc00g031060.2.1	471	272	0	0
Solyc00g031360.2.1	465	266	0	0
Solyc00g031370.2.1	1476	1277	0	0
Solyc00g031380.2.1	654	455	0	0
Solyc00g031383.1.1	438	239	0	0
Solyc00g031387.1.1	804	605	0	0
Solyc00g031390.1.1	2301	2102	0	0
Solyc00g031490.1.1	936	737	0	0
Solyc00g031500.1.1	1485	1286	0	0
Solyc00g031700.2.1	942	743	0	0
Solyc00g031710.2.1	696	497	0	0
Solyc00g031720.2.1	345	146	0	0
Solyc00g031730.1.1	831	632	0	0
Solyc00g032030.2.1	429	230	0	0
Solyc00g032035.1.1	411	212	0	0
Solyc00g032940.1.1	327	128.001	0	0
Solyc00g032943.1.1	897	698	0.0543208	0.00285386
Solyc00g032947.1.1	339	140	0	0
Solyc00g033860.2.1	1059	860	0	0
Solyc00g033870.2.1	537	338	0	0
Solyc00g033880.1.1	762	563	0	0
Solyc00g033885.1.1	999	800	0	0
Solyc00g033890.1.1	636	437	0	0
Solyc00g033990.2.1	696	497	0	0
Solyc00g034000.2.1	1338	1139	0	0
Solyc00g034010.2.1	435	236	0	0
Solyc00g034810.2.1	426	227	0	0
Solyc00g035010.1.1	2484	2285	0	0
Solyc00g035020.1.1	987	788	0	0
Solyc00g036320.2.1	531	332	0	0
Solyc00g036520.1.1	558	359	0.5	0.0510738
Solyc00g036530.1.1	156	13.8921	0	0
Solyc00g036740.1.1	705	506	0	0
Solyc00g036750.1.1	960	761	3378.04	162.78
Solyc00g036760.2.1	957	758	0	0
Solyc00g036960.1.1	474	275	0	0
Solyc00g036962.1.1	315	116.007	0	0
Solyc00g036964.1.1	525	326	0	0
Solyc00g039290.2.1	2122	1923	0	0
Solyc00g036968.1.1	1714	1515	0	0
Solyc00g039990.2.1	647	448	0	0
Solyc00g040290.2.1	1108	909	0	0
Solyc00g040390.2.1	1428	1229	0	0
Solyc00g040490.1.1	369	170	0	0
Solyc00g041090.2.1	285	86.2066	0	0
Solyc00g041190.1.1	237	44.1265	0	0
Solyc00g041200.2.1	351	152	0	0
Solyc00g041210.2.1	978	779	0	0
Solyc00g041215.1.1	567	368	0	0
Solyc00g041220.2.1	780	581	0	0
Solyc00g042120.2.1	828	629	0	0
Solyc00g042130.2.1	1530	1331	0	0
Solyc00g042140.1.1	1197	998	35	1.28606
Solyc00g042640.1.1	2259	2060	0	0
Solyc00g042840.1.1	1137	938	0	0
Solyc00g042850.2.1	621	422	0	0
Solyc00g042854.1.1	714	515	0	0
Solyc00g042858.1.1	420	221	0	0
Solyc00g044350.3.1	572	373	0	0
Solyc00g044550.1.1	174	17.1937	0	0
Solyc00g044750.2.1	645	446	0	0
Solyc00g044755.1.1	1188	989	0	0
Solyc00g046580.1.1	1323	1124	0	0
Solyc00g047180.1.1	258	60.8345	0	0
Solyc00g047190.1.1	318	119.005	0	0
Solyc00g047200.1.1	234	42.0611	107	93.288
Solyc00g047700.3.1	1157	958	18915.4	724.056
Solyc00g048510.3.1	775	576	1	0.0636649
Solyc00g048515.1.1	606	407	0	0
Solyc00g049210.1.1	1770	1571	3.16792	0.073947
Solyc00g049220.1.1	207	27.3759	0	0
Solyc00g049520.2.1	497	298	150	18.4585
Solyc00g049920.2.1	699	500	0	0
Solyc00g050020.2.1	909	710	0	0
Solyc00g050030.2.1	2100	1901	0	0
Solyc00g050130.1.1	1383	1184	149	4.61484
Solyc00g050430.3.1	2603	2404	229	3.4932
Solyc00g052430.3.1	1089	890	1	0.0412033
Solyc00g052540.1.1	321	122.003	0	0
Solyc00g052545.1.1	102	8.50096	0	0
Solyc00g052940.3.1	1037	838	0	0
Solyc00g053440.3.1	567	368	472	47.0345
Solyc00g053740.2.1	1126	927	0	0
Solyc00g055940.1.1	384	185	0	0
Solyc00g055950.1.1	690	491	0	0
Solyc00g055960.1.1	1287	1088	0	0
Solyc00g055970.1.1	342	143	0	0
Solyc00g055980.2.1	900	701	0	0
Solyc00g055985.1.1	924	725	0	0
Solyc00g056180.1.1	192	21.9082	0	0
Solyc00g056680.1.1	1614	1415	171	4.43162
Solyc00g057280.1.1	483	284	0	0
Solyc00g057880.3.1	1754	1555	0	0
Solyc00g058480.2.1	1598	1399	66.2322	1.7361
Solyc00g058900.2.1	1080	881	0	0
Solyc00g059100.3.1	1169	970	4	0.15122
Solyc00g059500.2.1	1352	1153	755.636	24.0329
Solyc00g059505.1.1	529	330	0	0
Solyc00g060700.2.1	2430	2231	0	0
Solyc00g060710.1.1	414	215	0	0
Solyc00g060810.3.1	917	718	0	0
Solyc07g021600.2.1	414	215	0	0
Solyc00g063110.3.1	1505	1306	0	0
Solyc00g063510.1.1	666	467	0	0
Solyc00g065510.2.1	741	542	0	0
Solyc00g065610.1.1	516	317	0	0
Solyc00g065620.1.1	465	266	0	0
Solyc00g065630.2.1	1584	1385	0	0
Solyc00g065930.1.1	1869	1670	0	0
Solyc00g065940.1.1	303	104.031	0	0
Solyc00g066140.1.1	1503	1304	0	0
Solyc00g066150.2.1	1104	905	0	0
Solyc00g066350.1.1	309	110.015	0	0
Solyc00g066155.1.1	912	713	0	0
Solyc00g068970.2.1	684	485	8391.9	634.513
Solyc00g068980.2.1	162	14.8683	0	0
Solyc00g068985.1.1	765	566	0	0
Solyc00g069680.2.1	237	44.1265	0	0
Solyc01g058600.1.1	234	42.0611	0	0
Solyc00g069880.2.1	829	630	130	7.56702
Solyc00g069883.1.1	328	129.001	0	0
Solyc00g069887.1.1	2100	1901	0	0
Solyc00g071180.3.1	2272	2073	218	3.85638
Solyc00g071580.1.1	336	137	0	0
Solyc00g071590.1.1	282	83.2735	0	0
Solyc00g071600.1.1	726	527	0	0
Solyc00g072100.3.1	898	699	134	7.02991
Solyc00g072400.3.1	1308	1109	1015.51	33.5796
Solyc00g072405.1.1	444	245	1	0.149677
Solyc00g072800.3.1	632	433	159	13.4658
Solyc00g073900.1.1	945	746	0	0
Solyc00g073910.2.1	560	361	0	0
Solyc00g074210.2.1	622	423	0	0
Solyc00g074810.1.1	1110	911	0	0
Solyc00g074820.1.1	927	728	0	0
Solyc00g074830.2.1	435	236	0	0
Solyc00g075030.3.1	841	642	0	0
Solyc00g075035.1.1	1443	1244	37192.4	1096.37
Solyc00g076250.1.1	309	110.015	0	0
Solyc06g050450.1.1	156	13.8921	0	0
Solyc06g050455.1.1	615	416	49.9944	4.40708
Solyc00g080750.3.1	977	778	218	10.2754
Solyc00g082150.3.1	1694	1495	1870.09	45.8716
Solyc00g084650.2.1	2118	1919	175.694	3.35741
Solyc00g084750.3.1	879	680	0	0
Solyc00g084760.1.1	687	488	0	0
Solyc00g084870.3.1	543	344	1.5	0.159902
Solyc00g085070.3.1	1835	1636	826.314	18.5218
Solyc00g085770.1.1	192	21.9082	0	0
Solyc00g085780.2.1	216	31.5146	0	0
Solyc03g081340.1.1	216	31.5146	0	0
Solyc00g088080.1.1	537	338	0	0
Solyc00g088090.2.1	2391	2192	0	0
Solyc00g088190.1.1	774	575	0	0
Solyc00g088200.1.1	1191	992	0	0
Solyc00g088210.2.1	399	200	0	0
Solyc06g024210.2.1	363	164	9708	2170.74
Solyc00g090110.1.1	918	719	0	0
Solyc00g090115.1.1	2829	2630	0	0
Solyc00g090120.2.1	631	432	0	0
Solyc00g090130.2.1	1059	860	0	0
Solyc00g090430.2.1	1077	878	0	0
Solyc00g090630.2.1	456	257	0	0
Solyc00g090640.1.1	468	269	0	0
Solyc00g090650.1.1	1164	965	0	0
Solyc00g090660.1.1	192	21.9082	0	0
Solyc00g090860.2.1	441	242	0	0
Solyc00g090870.3.1	784	585	1	0.0626854
Solyc00g091170.3.1	1636	1437	1137	29.0152
Solyc00g092870.1.1	228	38.1945	0	0
Solyc00g092880.1.1	207	27.3759	0	0
Solyc00g092890.1.1	354	155	0	0
Solyc00g092900.2.1	1068	869	0	0
Solyc00g093000.1.1	126	10.3244	0	0
Solyc00g093100.2.1	582	383	0	0
Solyc00g094010.2.1	891	692	0	0
Solyc00g094020.2.1	1557	1358	0	0
Solyc00g094520.1.1	186	20.1432	0	0
Solyc00g094530.1.1	390	191	0	0
Solyc00g094540.1.1	330	131.001	0	0
Solyc00g094550.1.1	234	42.0611	0	0
Solyc00g095450.1.1	744	545	0	0
Solyc00g095460.1.1	1005	806	0	0
Solyc00g095465.1.1	1509	1310	314.781	8.81171
Solyc00g095860.1.1	672	473	479.955	37.2101
Solyc00g096060.2.1	405	206	0	0
Solyc00g096460.2.1	407	208	294	51.833
Solyc00g097260.1.1	399	200	0	0
Solyc00g097960.2.1	575	376	59	5.75422
Solyc00g098560.3.1	1180	981	199	7.43886
Solyc00g099160.1.1	351	152	452.174	109.09
Solyc00g099460.2.1	1464	1265	0	0
Solyc00g099470.1.1	1050	851	0	0
Solyc00g099570.2.1	843	644	0	0
Solyc00g099580.2.1	1086	887	0	0
Solyc00g099880.2.1	438	239	0	0
Solyc00g100880.3.1	1201	1002	305	11.1623
Solyc00g101700.1.1	489	290	0	0
Solyc00g102400.3.1	3299	3100	847.376	10.0239
Solyc00g104200.2.1	1241	1042	0	0
Solyc00g104210.1.1	471	272	0	0
Solyc00g104310.2.1	708	509	0	0
Solyc00g104320.1.1	264	66.2053	0	0
Solyc00g104330.2.1	636	437	0	0
Solyc00g104333.1.1	334	135.001	0	0
Solyc00g104337.1.1	417	218	0	0
Solyc00g104630.2.1	804	605	0	0
Solyc00g104730.2.1	591	392	0	0
Solyc00g104740.2.1	678	479	0	0
Solyc00g104940.1.1	447	248	0	0
Solyc00g106650.2.1	222	34.6815	0	0
Solyc00g107050.1.1	435	236	0	0
Solyc00g107055.1.1	537	338	0	0
Solyc00g108550.1.1	486	287	0	0
Solyc00g108555.1.1	312	113.011	0	0
Solyc00g109450.1.1	150	13.0193	0	0
Solyc00g109850.2.1	1068	869	0	0
Solyc00g109860.2.1	675	476	0	0
Solyc00g110060.1.1	240	46.2784	0	0
Solyc00g110070.2.1	2569	2370	0	0
Solyc00g110370.1.1	345	146	0	0
Solyc00g110870.3.1	2322	2123	3006	51.9232
Solyc00g111170.2.1	480	281	0	0
Solyc00g111370.2.1	651	452	0	0
Solyc00g111770.1.1	312	113.011	1	0.324491
Solyc00g111780.2.1	204	26.1481	0	0
Solyc00g112190.2.1	1224	1025	1	0.0357766
Solyc00g112490.2.1	1212	1013	0	0
Solyc00g112500.2.1	987	788	0	0
Solyc00g112505.1.1	573	374	0	0
Solyc00g112600.1.1	153	13.4437	0	0
Solyc00g112700.2.1	816	617	0	0
Solyc00g112710.1.1	258	60.8345	0	0
Solyc00g112810.2.1	933	734	0	0
Solyc00g112820.1.1	207	27.3759	0	0
Solyc00g112930.3.1	1260	1061	195	6.73972
Solyc00g113730.1.1	504	305	0	0
Solyc00g113740.1.1	162	14.8683	0	0
Solyc00g113750.2.1	864	665	0	0
Solyc00g114550.1.1	726	527	0	0
Solyc00g117450.2.1	652	453	0	0
Solyc00g117650.1.1	246	50.8321	0	0
Solyc00g117653.1.1	796	597	0	0
Solyc00g118680.2.1	470	271	400	54.1269
Solyc00g117655.1.1	358	159	0	0
Solyc00g118690.1.1	261	63.4937	0	0
Solyc00g117657.1.1	672	473	0	0
Solyc00g120120.1.1	327	128.001	0	0
